GO:0004518	GO:0043022	GO:0030306	GO:0042910	GO:0019887;GO:0019207	GO:0001012	GO:1901681	GO:0008094	GO:0004708	GO:0035591	GO:0003779	GO:0004177	GO:0004812;GO:0016875	GO:0008143;GO:0070717	GO:0003725	GO:0016504;GO:0061134	GO:0005509	GO:0070851	GO:0099106;GO:0016247	GO:0000166;GO:1901265;GO:0043168	GO:0008017	GO:0046873	GO:0016651;GO:0003954;GO:0008137;GO:0050136;GO:0016655	GO:0042802;GO:0042803	GO:0015078	GO:0003743	GO:0140110	GO:0043021	GO:0022804	GO:0000049	GO:0005089;GO:0017048	GO:0001085;GO:0004874	GO:0019901;GO:0019900	GO:0001076	GO:0001067;GO:0044212	GO:0046982	GO:0019842	GO:0005246	GO:0016830	GO:0005516	GO:0005200	GO:0003700	GO:0016667	GO:0008022	GO:0015631	GO:0003943;GO:0008484	GO:0015108;GO:0005452;GO:0015297;GO:0015301;GO:0099516	GO:0005070	GO:0015171	GO:0098631	GO:0016812	GO:0048487	GO:0016407	GO:0008237	GO:0001664	GO:0000287	GO:0046943;GO:0005342;GO:0015238	GO:0003774	GO:0004527;GO:0008408;GO:0016796	GO:0005525;GO:0032561;GO:0019001	GO:0003678	GO:0042623;GO:0016887	GO:0043565	GO:0140097	GO:0017016;GO:0031267	GO:0038024	GO:0015075;GO:0022857;GO:0015318	GO:0004467;GO:0015645;GO:0016405;GO:0016878	GO:0004175	GO:0005154	GO:0030695;GO:0060589	GO:0005080;GO:0030971;GO:1990782	GO:0003724;GO:0004004;GO:0008186	GO:0016705	GO:0005245	GO:0016849	GO:0030145	GO:0140101	GO:0034584	GO:0008092	GO:0017137	GO:0044877	GO:0005310	GO:0003682	GO:0031369	GO:0016301;GO:0016773;GO:0016772	GO:0015294;GO:0015293	GO:0008200;GO:0016248	GO:0008134	GO:0009055	GO:0005524;GO:0032559;GO:0030554	GO:0004620;GO:0016298;GO:0052689	GO:0015103	GO:0009975	GO:0005048	GO:0033218	GO:0016829	GO:0008757;GO:0008168	GO:0016853	GO:0019992	GO:0048037;GO:0050662	GO:0051020	GO:0005543	GO:0017056	GO:0022890;GO:0008324	GO:0030246;GO:0048029	GO:0016836;GO:0016835	GO:0003713	GO:0005326;GO:0015179	GO:0008270	GO:0003729	GO:0047429	GO:0008656;GO:0016505;GO:0043028	GO:0004439;GO:0034595;GO:0106019;GO:0052866;GO:0034593	GO:0005262;GO:0015085;GO:0072509	GO:0004860;GO:0019210	GO:0015662;GO:0019829;GO:0042625;GO:0022853	GO:0016788	GO:0004842;GO:0019787;GO:0016879;GO:0016881	GO:0005096	GO:0003727	GO:0008170	GO:0019904	GO:0008236;GO:0017171	GO:0008289	GO:0051015	GO:0046914	GO:0008238	GO:0004843;GO:0036459;GO:0101005	GO:0016491	GO:0004129;GO:0015002;GO:0016676;GO:0016675	GO:0004712	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0016597	GO:0050660	GO:0004386	GO:0004553;GO:0016798	GO:0016779	GO:0005085;GO:0005088	GO:0000981	GO:0050839	GO:0046872;GO:0043169	GO:0019003	GO:0008234;GO:0019783	GO:0003924	GO:0015116	GO:0005319	GO:0008157	GO:0003677	GO:0008565	GO:0008375	GO:0019894	GO:0042626;GO:0015405;GO:0043492;GO:0015399	GO:0016746;GO:0016747	GO:0016811	GO:0042169	GO:0019902;GO:0019903	GO:0005215	GO:0016860	GO:0003899;GO:0034062;GO:0097747	GO:0016810	GO:0042393	GO:0016614	GO:0016874	GO:0000149	GO:0030292	GO:0031625;GO:0044389	GO:0004497	GO:0016814	GO:0043014	GO:0030371	GO:0070011;GO:0008233	GO:0015077	GO:0046961	GO:0016769	GO:0090079;GO:0045182	GO:0008144	GO:1990837	GO:0008483	GO:0005217;GO:0015278;GO:0099604;GO:0099094	GO:0051213	GO:0015556	GO:0030515	GO:0045322	GO:0030234;GO:0098772	GO:0004702;GO:0005057	GO:0051082	GO:0031072;GO:0051879	GO:0017124	GO:0008026;GO:0070035	GO:0004693;GO:0097472	GO:0050661	GO:0005178	GO:0004221;GO:0016790	GO:0003777	GO:0031406;GO:0043177	GO:0140098	GO:0003688	GO:0003714	GO:0030674;GO:0060090	GO:0000988;GO:0000989;GO:0003712	GO:0004888	GO:0019899	GO:0001882;GO:0097367;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550	GO:0016627;GO:0016628	GO:1904680;GO:0042887	GO:0015276;GO:0022834	GO:0008194;GO:0016757;GO:0016758	GO:0016741	GO:0004003	GO:0004536	GO:0019209;GO:0030295	GO:0003735	GO:0005216;GO:0015267;GO:0022803;GO:0022839;GO:0022836;GO:0005261	GO:0005496	GO:0008047	GO:0016877	GO:0015485;GO:0032934;GO:0043178	GO:0008509;GO:0008514	GO:0015291	GO:0030507	GO:0004672;GO:0004674	GO:0005102	GO:0030276	GO:0004871;GO:0060089	GO:0004197	GO:0003730	GO:0017022	GO:0005198	GO:0003690	GO:0032182;GO:0043130	GO:0015081	GO:0019205;GO:0019206	GO:0005507	GO:0045296	GO:0004721;GO:0016791;GO:0042578	GO:0042277	GO:0016616	GO:0004857	GO:0032266;GO:1901981;GO:0035091;GO:0080025;GO:1902936	GO:0036002	GO:0140030	GO:0008320;GO:0022884	GO:0051087	GO:0004725	GO:0005244;GO:0022832;GO:0022843	GO:0004713	GO:0015370	GO:0005126	GO:0008028;GO:0015562	GO:0046983	GO:0008135	GO:0033293	GO:1901682	GO:0008553;GO:0036442;GO:0044769	GO:0003697	GO:0051117	GO:0038023
1.000	1.000	0.000	1.000	0.625	0.500	1.000	1.000	0.500	0.333	0.714	1.000	1.000	1.000	1.000	0.750	1.000	0.333	0.500	0.933	1.000	1.000	1.000	0.850	1.000	1.000	0.931	1.000	1.000	1.000	0.000	1.000	0.000	1.000	0.800	0.875	1.000	1.000	1.000	0.750	0.667	0.950	1.000	1.000	0.900	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.500	0.500	0.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.852	0.000	0.800	1.000	1.000	1.000	0.833	1.000	0.500	0.909	1.000	1.000	1.000	1.000	0.667	1.000	1.000	0.889	1.000	1.000	0.667	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.500	1.000	1.000	0.500	1.000	0.800	0.933	1.000	1.000	1.000	0.444	1.000	0.909	0.500	0.889	1.000	0.667	0.958	1.000	0.667	0.967	1.000	1.000	1.000	1.000	0.667	0.000	0.800	0.750	0.957	0.500	0.833	0.833	1.000	1.000	0.000	0.967	0.750	1.000	1.000	1.000	1.000	1.000	0.000	0.000	0.967	1.000	1.000	1.000	1.000	1.000	0.957	1.000	0.000	0.000	1.000	1.000	0.667	1.000	0.941	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.633	0.750	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.400	0.941	1.000	0	0.913	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.769	1.000	1.000	1.000	1.000	0.667	0.864	0.625	0.667	0.870	1.000	1.000	1.000	0.857	1.000	0.750	1.000	0.750	0.500	0.500	0.750	1.000	1.000	0.500	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.826	1.000	1.000	1.000	1.000	1.000	0.000	1.000
0.667	0.500	1.000	0.000	0.875	1.000	0.333	0.667	0.000	1.000	1.000	1.000	0.500	1.000	1.000	0.750	1.000	1.000	1.000	0.043	1.000	0.900	1.000	0.800	0.833	0.000	1.000	0.667	0.750	0.333	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.500	0.500	1.000	1.000	0.500	0.667	0.333	0.800	1.000	0.500	0.000	0.667	0.818	1.000	0.750	1.000	1.000	0.870	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.000	0.667	1.000	0.957	1.000	0.600	1.000	0.778	1.000	0.739	0.667	1.000	0.909	1.000	0.000	1.000	1.000	1.000	1.000	0.571	0.778	1.000	1.000	1.000	0.800	0.909	1.000	1.000	0.882	0.500	0.500	1.000	1.000	0.833	0.950	0.500	0.500	1.000	1.000	1.000	0.800	0.900	0.933	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.667	1.000	1.000	1.000	0.333	0.652	0.667	1.000	0.857	1.000	0.667	1.000	1.000	0.750	0.826	0.000	1.000	0.333	1.000	0.500	1.000	0.913	0.750	1.000	1.000	0.714	1.000	1.000	1.000	1.000	0.826	1.000	0.500	0.857	1.000	1.000	0.870	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.941	0.900	1.000	1.000	0.667	0.286	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.739	0.500	1.000	1.000	1.000	0.800	1.000	1.000	0.500	1.000	1.000	0.429	0.800	1.000	1.000	1.000	1.000	0.875	0.913	0	1.000	0.667	1.000	1.000	0.857	0.500	0.500	0.500	1.000	1.000	1.000	0.615	1.000	1.000	0.714	0.800	1.000	0.773	0.875	1.000	0.826	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000	0.500	1.000	0.875	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.913	0.333	0.500	0.667	1.000	0.500	0.500	0.917
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.500	0.667	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.333	1.000	1.000	0.333	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.500	1.000	0.800	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
